,Release Date,Season,Episode,Episode Title,Name,Sentence,House,Sentences_Clean,Num_Words,Tokenized_Sentence,Tokenized_No_Stop,Stemmed_Sentence,Stemmed_Sentence_Non_Token,Sentiment,Sentiment_Compound_Score
5388,5/6/2012,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,"For my wedding, he gave me three petrified dragon eggs. He believed The world believed that the ages had turned them to stone. How many centuries has it been since dragons roamed the skies? But I dreamt that if I carried those eggs into a great fire, they would hatch. When I stepped into the fire, my own people thought I was mad. But when the fire burned out, I was unhurt, the Mother of Dragons.",House Targaryen, for my wedding he gave me three petrified dragon eggs he believed the world believed that the ages had turned them to stone how many centuries has it been since dragons roamed the skies but i dreamt that if i carried those eggs into a great fire they would hatch when i stepped into the fire my own people thought i was mad but when the fire burned out i was unhurt the mother of dragons,76,"['for', 'my', 'wedding', 'he', 'gave', 'me', 'three', 'petrified', 'dragon', 'eggs', 'he', 'believed', 'the', 'world', 'believed', 'that', 'the', 'ages', 'had', 'turned', 'them', 'to', 'stone', 'how', 'many', 'centuries', 'has', 'it', 'been', 'since', 'dragons', 'roamed', 'the', 'skies', 'but', 'i', 'dreamt', 'that', 'if', 'i', 'carried', 'those', 'eggs', 'into', 'a', 'great', 'fire', 'they', 'would', 'hatch', 'when', 'i', 'stepped', 'into', 'the', 'fire', 'my', 'own', 'people', 'thought', 'i', 'was', 'mad', 'but', 'when', 'the', 'fire', 'burned', 'out', 'i', 'was', 'unhurt', 'the', 'mother', 'of', 'dragons']","['wedding', 'gave', 'three', 'petrified', 'dragon', 'eggs', 'believed', 'world', 'believed', 'ages', 'turned', 'stone', 'many', 'centuries', 'since', 'dragons', 'roamed', 'skies', 'dreamt', 'carried', 'eggs', 'great', 'fire', 'would', 'hatch', 'stepped', 'fire', 'people', 'thought', 'mad', 'fire', 'burned', 'unhurt', 'mother', 'dragons']","['wedding', 'gave', 'three', 'petrified', 'dragon', 'egg', 'believed', 'world', 'believed', 'age', 'turned', 'stone', 'many', 'century', 'since', 'dragon', 'roamed', 'sky', 'dreamt', 'carried', 'egg', 'great', 'fire', 'would', 'hatch', 'stepped', 'fire', 'people', 'thought', 'mad', 'fire', 'burned', 'unhurt', 'mother', 'dragon']", wedding gave three petrified dragon egg believed world believed age turned stone many century since dragon roamed sky dreamt carried egg great fire would hatch stepped fire people thought mad fire burned unhurt mother dragon,"{'neg': 0.296, 'neu': 0.617, 'pos': 0.087, 'compound': -0.8316}",-0.8316
4978,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,catelyn stark,I'm sorry.,House Stark, i am sorry,3,"['i', 'am', 'sorry']",['sorry'],['sorry'], sorry,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.0772}",-0.0772
7075,6/3/2012,Season 2,Episode 10,Valar Morghulis,jorah mormont,Take all the gold and jewels.,House Mormont, take all the gold and jewels,6,"['take', 'all', 'the', 'gold', 'and', 'jewels']","['take', 'gold', 'jewels']","['take', 'gold', 'jewel']", take gold jewel,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",0.3612
6617,5/27/2012,Season 2,Episode 9,Blackwater,cersei lannister,And you will be Joffrey's. Enjoy. I don't think I know this one.,House Lannister, and you will be joffreys enjoy i do not think i know this one,14,"['and', 'you', 'will', 'be', 'joffreys', 'enjoy', 'i', 'do', 'not', 'think', 'i', 'know', 'this', 'one']","['joffreys', 'enjoy', 'think', 'know', 'one']","['joffrey', 'enjoy', 'think', 'know', 'one']", joffrey enjoy think know one,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.4939}",0.4939
3356,4/1/2012,Season 2,Episode 1,The North Remembers,jorah mormont,"Your roof, your rules.",House Mormont, your roof your rules,4,"['your', 'roof', 'your', 'rules']","['roof', 'rules']","['roof', 'rule']", roof rule,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
6651,5/27/2012,Season 2,Episode 9,Blackwater,tyrion lannister,"Can I get you some iced milk and a nice bowl of raspberries, too?",House Lannister, can i get you some iced milk and a nice bowl of raspberries too,14,"['can', 'i', 'get', 'you', 'some', 'iced', 'milk', 'and', 'a', 'nice', 'bowl', 'of', 'raspberries', 'too']","['get', 'iced', 'milk', 'nice', 'bowl', 'raspberries']","['get', 'iced', 'milk', 'nice', 'bowl', 'raspberry']", get iced milk nice bowl raspberry,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.4215}",0.4215
3691,4/8/2012,Season 2,Episode 2,The Night Lands,jon snow,"We're heading deeper and deeper into wildling territory. We can't take a girl with us. Mormont wouldn't have it. And even if he would, what would we do with her? Who's gonna deliver her baby? You?",House Stark, we are heading deeper and deeper into wildling territory we cannot take a girl with us mormont would not have it and even if he would what would we do with her who is gonna deliver her baby you,39,"['we', 'are', 'heading', 'deeper', 'and', 'deeper', 'into', 'wildling', 'territory', 'we', 'cannot', 'take', 'a', 'girl', 'with', 'us', 'mormont', 'would', 'not', 'have', 'it', 'and', 'even', 'if', 'he', 'would', 'what', 'would', 'we', 'do', 'with', 'her', 'who', 'is', 'gonna', 'deliver', 'her', 'baby', 'you']","['heading', 'deeper', 'deeper', 'wildling', 'territory', 'cannot', 'take', 'girl', 'us', 'mormont', 'would', 'even', 'would', 'would', 'gonna', 'deliver', 'baby']","['heading', 'deeper', 'deeper', 'wildling', 'territory', 'cannot', 'take', 'girl', 'u', 'mormont', 'would', 'even', 'would', 'would', 'gonna', 'deliver', 'baby']", heading deeper deeper wildling territory cannot take girl u mormont would even would would gonna deliver baby,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
6540,5/27/2012,Season 2,Episode 9,Blackwater,cersei lannister,The only way to keep the small folk loyal is to make certain they fear you more than they do the enemy. Remember that if you ever hope to become a queen.,House Lannister, the only way to keep the small folk loyal is to make certain they fear you more than they do the enemy remember that if you ever hope to become a queen,32,"['the', 'only', 'way', 'to', 'keep', 'the', 'small', 'folk', 'loyal', 'is', 'to', 'make', 'certain', 'they', 'fear', 'you', 'more', 'than', 'they', 'do', 'the', 'enemy', 'remember', 'that', 'if', 'you', 'ever', 'hope', 'to', 'become', 'a', 'queen']","['way', 'keep', 'small', 'folk', 'loyal', 'make', 'certain', 'fear', 'enemy', 'remember', 'ever', 'hope', 'become', 'queen']","['way', 'keep', 'small', 'folk', 'loyal', 'make', 'certain', 'fear', 'enemy', 'remember', 'ever', 'hope', 'become', 'queen']", way keep small folk loyal make certain fear enemy remember ever hope become queen,"{'neg': 0.282, 'neu': 0.378, 'pos': 0.34, 'compound': 0.1027}",0.1027
5288,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,You sound like a little cat mewling for his mother. Princes don't cry.,House Lannister, you sound like a little cat mewling for his mother princes do not cry,14,"['you', 'sound', 'like', 'a', 'little', 'cat', 'mewling', 'for', 'his', 'mother', 'princes', 'do', 'not', 'cry']","['sound', 'like', 'little', 'cat', 'mewling', 'mother', 'princes', 'cry']","['sound', 'like', 'little', 'cat', 'mewling', 'mother', 'prince', 'cry']", sound like little cat mewling mother prince cry,"{'neg': 0.267, 'neu': 0.517, 'pos': 0.216, 'compound': -0.1531}",-0.1531
4394,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,I'm punishing her.,House Lannister, i am punishing her,4,"['i', 'am', 'punishing', 'her']",['punishing'],['punishing'], punishing,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5574}",-0.5574
