,Release Date,Season,Episode,Episode Title,Name,Sentence,House,Sentences_Clean,Num_Words,Tokenized_Sentence,Tokenized_No_Stop,Stemmed_Sentence,Stemmed_Sentence_Non_Token,Sentiment,Sentiment_Compound_Score,Lannister_Word_Ranking,Lannister_Word_Score,Stark_Word_Score,Targaryen_Word_Score,Mormont_Word_Score
15,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,Go on. Father's watching.,House Stark, go on fathers watching,4,"['go', 'on', 'fathers', 'watching']","['go', 'fathers', 'watching']","['go', 'father', 'watching']", go father watching,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0024319629415170815,0.0016213086276780544,0.0038683568410402907,0.000546448087431694,0.001479602621010357
16,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,And your mother.,House Stark, and your mother,3,"['and', 'your', 'mother']",['mother'],['mother'], mother,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0013896931094383323,0.0013896931094383323,0.0017853954650955187,0.0,0.0
18,4/17/2011,Season 1,Episode 1,Winter is Coming,sansa stark,Thank you.,House Stark, thank you,2,"['thank', 'you']",['thank'],['thank'], thank,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",0.3612,,0.0,0.0008926977325477593,0.001639344262295082,0.0
21,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,"Don't think too much, Bran.",House Stark, do not think too much bran,6,"['do', 'not', 'think', 'too', 'much', 'bran']","['think', 'much', 'bran']","['think', 'much', 'bran']", think much bran,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0013896931094383323,0.0009264620729588882,0.0016663691007558171,0.000546448087431694,0.001479602621010357
22,4/17/2011,Season 1,Episode 1,Winter is Coming,robb stark,Relax your bow arm.,House Stark, relax your bow arm,4,"['relax', 'your', 'bow', 'arm']","['relax', 'bow', 'arm']","['relax', 'bow', 'arm']", relax bow arm,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,,0.0,0.0,0.0,0.0
23,4/17/2011,Season 1,Episode 1,Winter is Coming,robb stark,"Quick, Bran, faster!",House Stark, quick bran faster,3,"['quick', 'bran', 'faster']","['quick', 'bran', 'faster']","['quick', 'bran', 'faster']", quick bran faster,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,,0.0,0.000773671368208058,0.0,0.0
26,4/17/2011,Season 1,Episode 1,Winter is Coming,catelyn stark,Do you have to?,House Stark, do you have to,4,"['do', 'you', 'have', 'to']",[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,,0.0,0.0,0.0,0.0
30,4/17/2011,Season 1,Episode 1,Winter is Coming,catelyn stark,Ned. Ten is too young to see such things.,House Stark, ned ten is too young to see such things,9,"['ned', 'ten', 'is', 'too', 'young', 'to', 'see', 'such', 'things']","['ned', 'ten', 'young', 'see', 'things']","['ned', 'ten', 'young', 'see', 'thing']", ned ten young see thing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0014668982821849062,0.0008801389693109437,0.00096411355115158,0.0004371584699453552,0.001014584654407102
32,4/17/2011,Season 1,Episode 1,Winter is Coming,robb stark,"Lad, go run back and get the rest.",House Stark, lad go run back and get the rest,8,"['lad', 'go', 'run', 'back', 'and', 'get', 'the', 'rest']","['lad', 'go', 'run', 'back', 'get', 'rest']","['lad', 'go', 'run', 'back', 'get', 'rest']", lad go run back get rest,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0013510905230650454,0.0006755452615325227,0.0014878295542462654,0.000546448087431694,0.0006341154090044388
38,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,Don't look away.,House Stark, do not look away,4,"['do', 'not', 'look', 'away']","['look', 'away']","['look', 'away']", look away,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0012738853503184713,0.0012738853503184713,0.001160507052312087,0.001092896174863388,0.0
